#E				delta E			E^2dN/dE		flux error			model predicted
#(keV)      		(keV)        		(keV/cm^2/s)
#
1.07262280E+07	4.07448500E+05	9.81997699E-02	1.96399540E-02	7.01248199E-02
1.15733020E+07	4.39626500E+05	8.10985193E-02	1.86052769E-02	5.83156273E-02
1.24872730E+07	4.74344000E+05	6.47665411E-02	1.73095874E-02	4.76307645E-02
1.34734220E+07	5.11804500E+05	5.02481647E-02	1.58898644E-02	3.79117951E-02
1.45374490E+07	5.52223000E+05	7.37444162E-02	1.97090227E-02	2.78564468E-02
1.56855050E+07	5.95833000E+05	1.11844130E-02	7.90857431E-03	2.01830398E-02
1.69242260E+07	6.42888000E+05	4.90117967E-02	1.73282865E-02	1.48863625E-02
1.82607720E+07	6.93657000E+05	3.30661759E-02	1.47876441E-02	1.03904139E-02
1.97028660E+07	7.48438000E+05	2.08787005E-02	1.20543232E-02	6.75821723E-03
2.12588480E+07	8.07543000E+05	1.42787527E-02	1.00966031E-02	4.08491679E-03
2.29377080E+07	8.71317000E+05	0.00000000E+00	7.09157158E-03	2.32752762E-03
2.47491520E+07	9.40127000E+05	2.33655944E-02	1.34901321E-02	1.54240045E-03
2.67036480E+07	1.01437100E+06	0.00000000E+00	9.00966488E-03	1.16252445E-03
2.88124980E+07	1.09447800E+06	0.00000000E+00	1.04353540E-02	8.89780582E-04
3.10878880E+07	1.18091100E+06	0.00000000E+00	1.18409898E-02	5.99223655E-04
3.35429680E+07	1.27417100E+06	0.00000000E+00	9.91651323E-03	2.20068468E-04
3.61919360E+07	1.37479600E+06	0.00000000E+00	2.36383145E-04	1.64832090E-06
