     0.275420584E-02     0.100000000E+01 NaN                     0.214892578E+01     0.100000000E+01
     0.626220275E-02     0.705338717E+00 NaN                     0.248248291E+01     0.960810542E+00
     0.977019966E-02     0.292694360E+00 NaN                     0.279418945E+01     0.849984944E+00
     0.132781956E-01     0.181548551E+00 NaN                     0.265069580E+01     0.819720805E+00
     0.167861935E-01     0.125039026E+00 NaN                     0.291827393E+01     0.692426145E+00
     0.202941895E-01     0.100499533E+00 NaN                     0.297381592E+01     0.659629703E+00
     0.238021873E-01     0.817983150E-01 NaN                     0.274652100E+01     0.614917576E+00
     0.273101833E-01     0.609428659E-01 NaN                     0.272277832E+01     0.526480734E+00
     0.308181811E-01     0.594442710E-01 NaN                     0.298834229E+01     0.494009674E+00
     0.343261771E-01     0.522322804E-01 NaN                     0.293737793E+01     0.460917532E+00
     0.378341749E-01     0.408679359E-01 NaN                     0.283966064E+01     0.417804480E+00
     0.413421728E-01     0.387137048E-01 NaN                     0.319384766E+01     0.374289006E+00
     0.448501669E-01     0.281923190E-01 NaN                     0.327429199E+01     0.331298232E+00
     0.483581647E-01     0.255697779E-01 NaN                     0.341717529E+01     0.314222544E+00
     0.518661626E-01     0.173899475E-01 NaN                     0.344946289E+01     0.278623730E+00
     0.553741604E-01     0.199812669E-01 NaN                     0.360644531E+01     0.220301911E+00
     0.588821545E-01     0.139868874E-01 NaN                     0.367767334E+01     0.233496115E+00
     0.623901524E-01     0.119575402E-01 NaN                     0.359045410E+01     0.159279123E+00
     0.658981502E-01     0.880424585E-02 NaN                     0.361724854E+01     0.171477079E+00
     0.694061518E-01     0.989697129E-02 NaN                     0.385003662E+01     0.166110009E+00
     0.729141459E-01     0.721198879E-02 NaN                     0.387933350E+01     0.136972368E+00
     0.764221475E-01     0.661879499E-02 NaN                     0.452770996E+01     0.940534920E-01
     0.799301416E-01     0.774274115E-02 NaN                     0.474078369E+01     0.478797555E-01
     0.834381357E-01     0.496409601E-02 NaN                     0.456683350E+01     0.807285830E-01
     0.869461372E-01     0.521386182E-02 NaN                     0.444201660E+01     0.485181250E-01
     0.904541314E-01     0.480799237E-02 NaN                     0.455773926E+01     0.503985435E-01
     0.939621255E-01     0.237277546E-02 NaN                     0.452453613E+01     0.447789058E-01
     0.974701270E-01     0.365282549E-02 NaN                     0.483959961E+01     0.431397445E-01
     0.100978121E+00     0.234155473E-02 NaN                     0.588092041E+01     0.325715393E-01
     0.104486123E+00     0.305963168E-02 NaN                     0.508026123E+01     0.268958397E-01
     0.107994117E+00     0.340305967E-02 NaN                     0.617260742E+01     0.272610877E-01
     0.111502111E+00     0.206056819E-02 NaN                     0.542687988E+01     0.358756036E-01
     0.115010113E+00     0.171714020E-02 NaN                     0.574591064E+01     0.145163033E-01
     0.118518107E+00     0.199812674E-02 NaN                     0.516400146E+01     0.250131283E-01
     0.122026101E+00     0.936621916E-03 NaN                     0.620172119E+01     0.121066365E-01
     0.125534102E+00     0.811739010E-03 NaN                     0.530926514E+01     0.115029821E-01
     0.129042104E+00     0.152981584E-02 NaN                     0.593310547E+01     0.119955707E-01
     0.132550091E+00     0.374648778E-03 NaN                     0.598590088E+01     0.718740700E-02
     0.136058092E+00     0.811739010E-03 NaN                     0.626745605E+01     0.284051616E-02
     0.139566094E+00     0.312207303E-04 NaN                     0.655694580E+01     0.142021675E-02
     0.143074080E+00     0.967842643E-03 NaN                     0.727398682E+01     0.354588404E-02
     0.146582082E+00     0.312207296E-03 NaN                     0.734924316E+01     0.950292975E-03
     0.150090083E+00     0.218545116E-03 NaN                     0.737310791E+01     0.124495034E-02
     0.153598070E+00     0.187324389E-03 NaN                     0.655987549E+01     0.207677111E-02
     0.157106072E+00     0.936621946E-04 NaN                     0.814892578E+01     0.289045682E-03
     0.160614073E+00     0.000000000E+00 NaN                     0.000000000E+00     0.000000000E+00
     0.164122060E+00     0.000000000E+00 NaN                     0.000000000E+00     0.000000000E+00
     0.167630062E+00     0.000000000E+00 NaN                     0.000000000E+00     0.000000000E+00
     0.171138063E+00     0.000000000E+00 NaN                     0.000000000E+00     0.000000000E+00
     0.174646065E+00     0.280986569E-03 NaN                     0.771716309E+01     0.456122565E-03
     0.178154051E+00     0.000000000E+00 NaN                     0.000000000E+00     0.000000000E+00
     0.181662053E+00     0.936621946E-04 NaN                     0.745550537E+01     0.578249339E-03
